Date,Price,Open,High,Low,Vol.,Change_Percent
9/1/2001,23.26,26.5,31.05,20.7,879.08K,-11.93
10/1/2001,20.37,23.2,23.25,20.05,694.94K,-12.42
11/1/2001,19.14,20.35,21.65,16.65,769.36K,-6.04
12/1/2001,19.9,18.92,20.9,17.7,533.51K,3.97
1/1/2002,19.18,19.46,22.4,18.23,705.66K,-3.62
2/1/2002,21.33,19.36,21.71,18.8,714.26K,11.21
3/1/2002,25.92,21.35,25.95,21.2,695.11K,21.52
4/1/2002,26.47,26.36,28.15,23.81,817.43K,2.12
5/1/2002,24.45,26,27.35,23.93,824.16K,-7.63
6/1/2002,25.58,24.1,25.85,23.22,643.78K,4.62
7/1/2002,25.44,25.5,26.66,24.65,751.45K,-0.55
8/1/2002,27.47,25.35,27.92,24.65,698.02K,7.98
9/1/2002,28.75,27.4,29.88,26.45,678.86K,4.66
10/1/2002,25.72,28.85,29.39,25.05,810.23K,-10.54
11/1/2002,25.16,25.77,26.05,22.56,874.18K,-2.18
12/1/2002,28.66,25.35,31.02,25.12,675.64K,13.91
1/1/2003,31.1,29.3,31.8,27.85,837.76K,8.51
2/1/2003,32.79,30.89,33.94,30.1,765.23K,5.43
3/1/2003,27.18,32.45,34.55,24,821.99K,-17.11
4/1/2003,23.68,27.56,27.56,23.05,780.43K,-12.88
5/1/2003,26.32,24,27.01,23.34,824.02K,11.15
6/1/2003,28.33,26.7,28.52,25.8,806.24K,7.64
7/1/2003,28.37,28.2,29.6,27.21,847.02K,0.14
8/1/2003,29.49,28.45,30.59,28.02,752.34K,3.95
9/1/2003,27.61,29.45,29.55,25.05,889.88K,-6.38
10/1/2003,27.7,27.58,31.5,26.75,901.09K,0.33
11/1/2003,28.45,27.98,30.52,26.97,856.73K,2.71
12/1/2003,30.17,28.43,31.15,27.76,761.14K,6.05
1/1/2004,29.18,29.57,32.12,28.81,890.47K,-3.28
2/1/2004,32.23,29,32.35,28.44,820.49K,10.45
3/1/2004,31.51,32.33,33.82,31.15,932.63K,-2.23
4/1/2004,34.48,32.23,35,29.95,884.49K,9.43
5/1/2004,36.58,35.22,38.9,34.95,887.18K,6.09
6/1/2004,34.5,37.15,39.12,33.08,1.02M,-5.69
7/1/2004,40.03,34.25,40.05,34.18,860.67K,16.03
8/1/2004,39.61,39.7,45.15,39.2,878.82K,-1.05
9/1/2004,46.38,39.9,46.8,39.7,892.32K,17.09
10/1/2004,48.98,46.2,51.94,45.8,867.97K,5.61
11/1/2004,45.51,49.2,49.6,40.05,844.44K,-7.08
12/1/2004,40.46,45.35,45.43,37,663.26K,-11.1
1/1/2005,45.92,39.4,47.35,38.81,716.92K,13.49
2/1/2005,50.06,45.48,50.34,42.46,780.98K,9.02
3/1/2005,54.29,50.08,56.15,49.05,756.77K,8.45
4/1/2005,51.09,54.52,57.65,50.35,760.12K,-5.89
5/1/2005,50.73,51.78,52.43,47.47,1.01M,-0.7
6/1/2005,55.58,50.85,59.59,50.85,1.16M,9.56
7/1/2005,59.37,55.7,60.7,55.25,1.17M,6.82
8/1/2005,67.02,59.85,68.89,59.37,1.36M,12.89
9/1/2005,63.48,66.7,67.88,61,1.26M,-5.28
10/1/2005,58.1,63.63,63.96,57.05,1.18M,-8.48
11/1/2005,55.05,58.07,60.65,53.75,1.17M,-5.25
12/1/2005,58.98,55,60.4,54.63,1.07M,7.14
1/1/2006,65.99,59.35,67.32,59.08,1.38M,11.89
2/1/2006,61.76,65.76,67.27,57.9,1.20M,-6.41
3/1/2006,65.91,61.95,67.05,59.26,1.41M,6.72
4/1/2006,72.02,66.3,74.79,65.73,1.31M,9.27
5/1/2006,70.41,71.98,74.97,67.63,1.56M,-2.24
6/1/2006,73.51,70.25,73.69,66.33,1.54M,4.4
7/1/2006,75.15,73.26,78.18,72.11,1.56M,2.23
8/1/2006,70.25,75.15,78.65,68.82,1.36M,-6.52
9/1/2006,62.48,70.42,70.66,59.32,1.51M,-11.06
10/1/2006,59.03,62.7,62.82,57.39,1.85M,-5.52
11/1/2006,64.26,58.85,64.77,57.75,1.73M,8.86
12/1/2006,60.86,63.8,64.92,60.04,1.16M,-5.29
1/1/2007,57.4,60.88,61.64,50.75,2.11M,-5.69
2/1/2007,61.89,57.16,62.18,56.1,1.77M,7.82
3/1/2007,68.1,61.75,69.14,59.79,1.86M,10.03
4/1/2007,67.65,67.91,69.59,64.76,1.49M,-0.66
